Word,Part of Speech,CEFR Level,Definition,Example Sentence
attractive,adjective,B1,appealing or pleasing,She wore an attractive dress.
attribute,verb,B2,to regard as caused by,They attribute the accident to speed.
attribute,noun,B2,a characteristic or quality,Kindness is one of her best attributes.
auction,noun,B2,a public sale to the highest bidder,The auction was held yesterday.
audience,noun,B1,a group of people listening or watching,The audience applauded.
audio,adjective,B1,relating to sound,Audio quality is important.
audit,verb,B2,to examine accounts officially,The company was audited.
auditorium,noun,B2,a large hall for meetings or performances,The concert is in the auditorium.
August,noun,A1,the eighth month of the year,August is very hot.
aunt,noun,A1,the sister of one's parent,My aunt visits every summer.
authentic,adjective,B2,genuine or real,This is an authentic Italian restaurant.
authentication,noun,B2,the process of verifying authenticity,Authentication is required.
author,noun,B1,a person who writes books,The author signed her book.
authority,noun,B1,the power or right to make decisions,The principal has authority.
authorization,noun,B2,official permission,Authorization is required for access.
authorize,verb,B2,to give official permission,The manager authorized the payment.
automatic,adjective,B1,operating by itself,The door is automatic.
automatically,adverb,B1,by itself or without thinking,The light turns on automatically.
automobile,noun,B1,a car,He drives an automobile.
autumn,noun,B1,the season between summer and winter,Autumn is my favorite season.
auxiliary,adjective,B2,providing extra help or support,An auxiliary generator was added.
avail,verb,B2,to benefit or help,Does that avail us anything?
availability,noun,B2,the quality of being available,Check the availability of rooms.
available,adjective,B1,obtainable or free,These books are available online.
avalanche,noun,B1,a rapid fall of snow or rocks down a mountain,An avalanche blocked the road.
avenue,noun,B1,a wide street or approach,The restaurant is on Fifth Avenue.
average,noun,B2,the usual or middle amount,The average temperature is 20 degrees.
average,adjective,B2,usual or ordinary,That's an average performance.
averse,adjective,B2,opposed or reluctant,He is averse to change.
aversion,noun,B2,a strong dislike,She has an aversion to snakes.
avert,verb,B2,to turn away or prevent,They averted disaster.
aviation,noun,B2,the operation of aircraft,Aviation safety is important.
aviator,noun,B2,a pilot,The aviator had years of experience.
avoid,verb,B1,to keep away from or prevent,Try to avoid traffic.
await,verb,B1,to wait for,I await your response.
awake,adjective,A2,not sleeping,Are you awake?
awake,verb,B1,to wake up,She awoke at dawn.
awaken,verb,B1,to wake or stir,The noise awakened him.
award,noun,B1,a prize given for achievement,She won an award for her work.
award,verb,B1,to give as a prize,They awarded him the medal.
aware,adjective,B1,having knowledge or consciousness,Are you aware of the problem?
awareness,noun,B2,knowledge or consciousness,Public awareness is growing.
away,adverb,A2,at a distance or absent,He went away for vacation.
awe,noun,B1,a feeling of wonder or fear,She looked at the sunset with awe.
awful,adjective,B1,very bad or terrible,The weather is awful today.
awfully,adverb,B1,very or extremely,That's awfully nice of you.
awhile,adverb,B1,for a short time,Let's stay awhile.
awkward,adjective,B1,difficult or uncomfortable,The silence was awkward.
awning,noun,B2,a canvas cover for shade,We sat under the awning.
axe,noun,B1,a tool for chopping,He used an axe to split wood.
axis,noun,B2,a line around which something rotates,The earth rotates on its axis.
ay,interjection,B2,yes or an expression of pain,Ay I can't believe it!
aye,noun,B1,a vote in favor or yes,The ayes have it.
azure,adjective,B2,bright blue,The azure sky was beautiful.
